City,Datetime,PM2.5,PM10,NO2,CO,SO2,O3,AQI,risk_level,Date,Year,Month,DayOfWeek,risk_label
Chennai,14-01-2015,338.7,223.1,94.8,9.61,4.1,80.1,358.0,Low,2015-01-14,2015,1,2,0
Kolkata,14-01-2015,93.6,283.7,35.6,3.79,42.8,85.2,89.7,High,2015-01-14,2015,1,2,2
Bangalore,14-01-2015,487.0,70.9,53.5,6.43,75.5,24.0,374.0,Low,2015-01-14,2015,1,2,0
Delhi,15-01-2015,67.7,597.1,34.8,5.05,13.3,48.5,481.7,Low,2015-01-15,2015,1,3,0
Mumbai,15-01-2015,429.8,345.4,50.2,4.27,35.3,127.1,229.4,High,2015-01-15,2015,1,3,2
Chennai,15-01-2015,172.5,481.8,2.1,8.75,49.0,39.6,265.3,High,2015-01-15,2015,1,3,2
Kolkata,15-01-2015,63.1,121.1,8.3,3.54,5.6,171.2,464.6,Low,2015-01-15,2015,1,3,0
Bangalore,15-01-2015,415.9,429.8,140.1,1.46,30.9,135.4,499.4,Low,2015-01-15,2015,1,3,0
Delhi,16-01-2015,283.3,260.2,12.5,1.88,91.3,167.1,240.1,High,2015-01-16,2015,1,4,2
Mumbai,16-01-2015,400.7,50.6,105.4,0.04,27.0,70.9,159.3,Low,2015-01-16,2015,1,4,0
Chennai,16-01-2015,259.6,202.0,0.9,0.94,19.9,194.9,351.5,High,2015-01-16,2015,1,4,2
Kolkata,16-01-2015,42.1,279.2,74.1,4.72,82.4,169.0,255.0,High,2015-01-16,2015,1,4,2
Bangalore,16-01-2015,198.2,108.9,102.7,9.48,8.2,59.1,261.6,High,2015-01-16,2015,1,4,2
Delhi,17-01-2015,378.5,185.2,129.2,6.57,98.7,81.2,257.4,Low,2015-01-17,2015,1,5,0
Mumbai,17-01-2015,310.7,276.4,41.5,6.74,44.2,175.1,113.0,Low,2015-01-17,2015,1,5,0
Chennai,17-01-2015,391.2,19.4,149.0,9.12,7.8,109.5,39.3,Low,2015-01-17,2015,1,5,0
Kolkata,17-01-2015,475.3,296.7,70.6,8.12,97.8,59.1,234.2,Moderate,2015-01-17,2015,1,5,1
Bangalore,17-01-2015,368.9,476.1,90.5,6.73,41.4,5.3,3.8,Moderate,2015-01-17,2015,1,5,1
Delhi,18-01-2015,486.5,401.3,1.0,2.88,63.0,171.9,439.8,Low,2015-01-18,2015,1,6,0
Mumbai,18-01-2015,408.4,375.4,72.6,2.2,23.2,67.5,423.4,Low,2015-01-18,2015,1,6,0
Chennai,18-01-2015,481.6,113.7,7.9,5.22,39.3,197.5,306.6,Moderate,2015-01-18,2015,1,6,1
Kolkata,18-01-2015,408.7,407.1,70.4,0.4,97.0,94.0,224.7,High,2015-01-18,2015,1,6,2
Bangalore,18-01-2015,14.0,456.9,112.2,8.68,11.9,27.3,104.3,Low,2015-01-18,2015,1,6,0
Delhi,19-01-2015,176.7,498.0,98.2,7.15,95.7,100.2,102.0,Low,2015-01-19,2015,1,0,0
Mumbai,19-01-2015,358.0,290.4,102.0,5.01,62.5,104.3,290.0,High,2015-01-19,2015,1,0,2
Chennai,19-01-2015,340.4,538.3,65.9,8.4,58.5,20.9,437.1,Low,2015-01-19,2015,1,0,0
Kolkata,19-01-2015,58.6,534.5,6.5,1.92,64.1,171.6,467.9,High,2015-01-19,2015,1,0,2
Bangalore,19-01-2015,306.8,78.0,115.6,3.47,0.8,140.9,273.1,High,2015-01-19,2015,1,0,2
Delhi,20-01-2015,187.7,42.5,4.3,1.87,60.7,172.3,374.5,High,2015-01-20,2015,1,1,2
Mumbai,20-01-2015,478.8,359.8,50.3,2.52,39.4,61.1,132.0,High,2015-01-20,2015,1,1,2
Chennai,20-01-2015,144.8,52.9,109.9,6.93,7.2,17.3,157.2,Moderate,2015-01-20,2015,1,1,1
Kolkata,20-01-2015,394.8,356.9,108.2,9.2,11.3,188.0,207.0,Low,2015-01-20,2015,1,1,0
Bangalore,20-01-2015,465.8,185.2,75.5,6.13,49.3,127.4,38.1,High,2015-01-20,2015,1,1,2
Delhi,21-01-2015,3.5,506.4,146.1,3.92,81.4,53.8,192.3,Low,2015-01-21,2015,1,2,0
Mumbai,21-01-2015,70.9,86.1,15.5,2.19,22.8,56.6,86.5,High,2015-01-21,2015,1,2,2
Chennai,21-01-2015,374.0,277.3,146.5,0.41,89.6,154.4,357.6,Low,2015-01-21,2015,1,2,0
Kolkata,21-01-2015,96.1,514.2,57.8,1.08,69.3,155.2,440.5,Low,2015-01-21,2015,1,2,0
Bangalore,21-01-2015,21.2,271.6,46.7,1.16,40.6,183.6,384.3,High,2015-01-21,2015,1,2,2
Delhi,22-01-2015,403.8,423.9,41.3,8.67,68.2,135.0,126.7,High,2015-01-22,2015,1,3,2
Mumbai,22-01-2015,131.2,368.1,80.9,6.61,37.5,40.1,10.8,High,2015-01-22,2015,1,3,2
Chennai,22-01-2015,90.0,428.5,48.7,0.5,49.2,52.7,270.2,High,2015-01-22,2015,1,3,2
Kolkata,22-01-2015,247.5,112.7,5.3,1.01,35.7,163.7,85.0,Low,2015-01-22,2015,1,3,0
Bangalore,22-01-2015,180.2,53.0,132.1,6.29,2.7,125.7,22.1,Low,2015-01-22,2015,1,3,0
Delhi,23-01-2015,157.5,365.1,57.5,4.1,37.0,139.6,362.2,Low,2015-01-23,2015,1,4,0
Mumbai,23-01-2015,476.7,360.1,148.5,8.41,48.4,160.9,440.9,High,2015-01-23,2015,1,4,2
Chennai,23-01-2015,153.9,337.5,114.3,0.53,17.6,93.1,431.1,Moderate,2015-01-23,2015,1,4,1
Kolkata,23-01-2015,437.7,541.7,91.2,6.09,2.6,17.6,87.5,Moderate,2015-01-23,2015,1,4,1
Bangalore,23-01-2015,469.0,122.7,104.5,6.35,84.1,151.6,286.9,Low,2015-01-23,2015,1,4,0
Delhi,24-01-2015,188.3,442.6,82.8,0.53,3.6,37.1,288.8,Low,2015-01-24,2015,1,5,0
Mumbai,24-01-2015,420.7,186.9,45.8,4.81,12.5,185.8,86.1,High,2015-01-24,2015,1,5,2
Chennai,24-01-2015,232.1,581.7,50.3,5.06,38.1,17.9,251.4,Low,2015-01-24,2015,1,5,0
Kolkata,24-01-2015,141.5,208.7,79.3,5.06,27.3,20.2,130.4,High,2015-01-24,2015,1,5,2
Bangalore,24-01-2015,172.9,579.7,21.4,6.28,50.8,159.2,105.6,Moderate,2015-01-24,2015,1,5,1
Delhi,25-01-2015,397.3,457.0,100.4,7.67,76.0,2.7,148.4,High,2015-01-25,2015,1,6,2
Mumbai,25-01-2015,353.4,178.3,79.3,4.61,23.1,181.1,130.4,High,2015-01-25,2015,1,6,2
Chennai,25-01-2015,122.2,97.8,106.0,2.59,73.6,109.3,45.3,High,2015-01-25,2015,1,6,2
Kolkata,25-01-2015,113.3,432.1,3.6,7.8,91.8,48.3,119.2,Low,2015-01-25,2015,1,6,0
Bangalore,25-01-2015,219.2,22.7,121.4,6.53,95.3,58.6,390.6,High,2015-01-25,2015,1,6,2
Delhi,26-01-2015,336.2,576.0,6.6,4.15,96.1,165.4,260.0,Low,2015-01-26,2015,1,0,0
Mumbai,26-01-2015,52.5,410.4,61.3,3.19,18.0,198.3,147.6,High,2015-01-26,2015,1,0,2
Chennai,26-01-2015,487.7,332.9,94.1,5.26,66.6,14.5,415.6,Moderate,2015-01-26,2015,1,0,1
Kolkata,26-01-2015,13.2,474.7,82.2,7.59,35.6,29.9,264.2,Moderate,2015-01-26,2015,1,0,1
Bangalore,26-01-2015,274.2,119.4,34.3,0.31,79.3,20.4,319.9,Low,2015-01-26,2015,1,0,0
Delhi,27-01-2015,125.9,443.0,120.4,4.44,30.5,91.4,225.8,Moderate,2015-01-27,2015,1,1,1
Mumbai,27-01-2015,50.4,334.5,94.8,0.89,93.6,59.9,312.3,Low,2015-01-27,2015,1,1,0
Chennai,27-01-2015,258.8,116.4,139.7,2.74,51.1,181.9,22.0,Moderate,2015-01-27,2015,1,1,1
Kolkata,27-01-2015,316.8,527.0,28.6,2.1,95.6,91.4,213.1,High,2015-01-27,2015,1,1,2
Bangalore,27-01-2015,469.0,203.6,120.8,4.59,65.7,110.2,78.7,Low,2015-01-27,2015,1,1,0
Delhi,28-01-2015,67.1,557.4,141.9,5.7,58.0,4.3,260.7,High,2015-01-28,2015,1,2,2
Mumbai,28-01-2015,373.7,173.1,78.5,2.88,93.8,64.8,95.2,High,2015-01-28,2015,1,2,2
Chennai,28-01-2015,356.2,11.9,95.5,7.42,99.6,143.2,211.9,Moderate,2015-01-28,2015,1,2,1
Kolkata,28-01-2015,4.5,41.8,123.5,7.97,36.0,109.7,128.0,High,2015-01-28,2015,1,2,2
Bangalore,28-01-2015,447.1,152.5,131.8,8.66,30.7,172.3,92.9,High,2015-01-28,2015,1,2,2
Delhi,29-01-2015,122.3,457.2,46.7,0.77,95.0,127.3,44.1,High,2015-01-29,2015,1,3,2
Mumbai,29-01-2015,174.8,500.3,116.3,1.61,83.5,103.3,130.6,Moderate,2015-01-29,2015,1,3,1
Chennai,29-01-2015,485.9,513.1,135.0,3.37,9.8,18.7,441.9,Moderate,2015-01-29,2015,1,3,1
Kolkata,29-01-2015,436.0,595.6,86.0,5.1,9.6,77.4,218.0,High,2015-01-29,2015,1,3,2
Bangalore,29-01-2015,258.8,95.3,77.9,6.48,16.4,150.5,232.0,Low,2015-01-29,2015,1,3,0
Delhi,30-01-2015,485.5,128.0,103.7,1.14,6.5,133.6,337.9,Moderate,2015-01-30,2015,1,4,1
Mumbai,30-01-2015,481.7,472.6,92.2,5.35,39.2,133.2,248.6,Moderate,2015-01-30,2015,1,4,1
Chennai,30-01-2015,53.6,580.2,127.8,2.2,58.0,16.6,150.2,Low,2015-01-30,2015,1,4,0
Kolkata,30-01-2015,140.8,249.9,95.8,1.0,79.8,8.9,133.6,High,2015-01-30,2015,1,4,2
Bangalore,30-01-2015,17.6,418.7,62.8,8.19,85.4,94.4,493.9,High,2015-01-30,2015,1,4,2
Delhi,31-01-2015,405.9,355.9,88.1,6.87,87.6,109.2,489.9,Low,2015-01-31,2015,1,5,0
Mumbai,31-01-2015,466.3,497.0,12.5,9.37,41.2,83.4,470.9,Moderate,2015-01-31,2015,1,5,1
Chennai,31-01-2015,18.5,301.8,135.2,0.11,97.6,168.6,40.6,Low,2015-01-31,2015,1,5,0
Kolkata,31-01-2015,345.1,486.9,34.3,3.72,87.9,124.3,81.5,Low,2015-01-31,2015,1,5,0
Bangalore,31-01-2015,327.5,71.1,105.1,6.85,4.4,28.9,432.3,Low,2015-01-31,2015,1,5,0
Delhi,01-02-2015,4.2,172.2,0.9,2.99,91.0,36.4,447.5,Moderate,2015-02-01,2015,2,6,1
Mumbai,01-02-2015,310.5,197.1,126.3,6.77,76.9,156.1,87.4,High,2015-02-01,2015,2,6,2
Chennai,01-02-2015,280.3,116.3,7.2,3.96,47.2,111.6,102.3,High,2015-02-01,2015,2,6,2
Kolkata,01-02-2015,73.6,568.9,138.6,9.39,51.7,133.0,266.8,High,2015-02-01,2015,2,6,2
Bangalore,01-02-2015,245.6,397.9,91.1,1.84,59.0,6.3,211.4,High,2015-02-01,2015,2,6,2
Delhi,02-02-2015,334.2,286.2,139.7,2.99,14.9,76.3,266.8,High,2015-02-02,2015,2,0,2
Mumbai,02-02-2015,44.3,385.8,1.3,1.2,35.8,71.8,108.9,Low,2015-02-02,2015,2,0,0
Chennai,02-02-2015,415.4,322.5,122.1,8.88,17.4,198.4,215.4,High,2015-02-02,2015,2,0,2
Kolkata,02-02-2015,469.7,124.6,63.3,3.5,16.3,83.5,274.5,High,2015-02-02,2015,2,0,2
Bangalore,02-02-2015,265.2,8.8,97.5,1.71,41.5,85.7,480.9,Moderate,2015-02-02,2015,2,0,1
Delhi,03-02-2015,292.7,5.6,110.9,4.79,49.8,55.2,40.7,Low,2015-02-03,2015,2,1,0
Mumbai,03-02-2015,229.6,71.9,116.6,0.43,87.5,38.9,469.0,Low,2015-02-03,2015,2,1,0
Chennai,03-02-2015,391.0,113.5,54.5,5.41,32.7,43.0,373.9,High,2015-02-03,2015,2,1,2
Kolkata,03-02-2015,304.6,10.0,15.7,9.1,18.4,123.3,472.3,Low,2015-02-03,2015,2,1,0
Bangalore,03-02-2015,413.9,371.0,37.8,8.55,56.1,132.0,235.7,High,2015-02-03,2015,2,1,2
Delhi,04-02-2015,413.1,254.3,44.4,5.08,39.5,28.9,365.4,High,2015-02-04,2015,2,2,2
Mumbai,04-02-2015,415.4,72.9,19.3,8.19,88.4,194.0,95.5,High,2015-02-04,2015,2,2,2
Chennai,04-02-2015,212.3,11.5,1.7,6.44,12.1,64.9,118.3,High,2015-02-04,2015,2,2,2
Kolkata,04-02-2015,439.2,345.4,5.5,3.03,84.5,177.7,409.8,Moderate,2015-02-04,2015,2,2,1
Bangalore,04-02-2015,76.2,253.1,88.6,4.31,46.3,79.7,377.2,Low,2015-02-04,2015,2,2,0
Delhi,05-02-2015,172.9,328.3,28.6,8.51,85.2,189.5,37.6,Low,2015-02-05,2015,2,3,0
Mumbai,05-02-2015,477.3,171.5,121.4,5.81,45.2,50.7,139.7,Moderate,2015-02-05,2015,2,3,1
Chennai,05-02-2015,301.3,302.1,81.7,4.91,14.1,136.9,97.2,High,2015-02-05,2015,2,3,2
Kolkata,05-02-2015,218.2,15.7,92.3,9.91,43.6,118.7,62.8,High,2015-02-05,2015,2,3,2
Bangalore,05-02-2015,73.8,57.2,37.9,1.48,47.3,86.3,6.0,Moderate,2015-02-05,2015,2,3,1
Delhi,06-02-2015,23.8,436.9,88.6,0.46,71.2,144.9,52.3,Moderate,2015-02-06,2015,2,4,1
Mumbai,06-02-2015,352.0,426.6,20.6,6.37,47.3,135.9,435.7,High,2015-02-06,2015,2,4,2
Chennai,06-02-2015,452.7,182.3,65.3,2.14,81.4,192.0,62.2,High,2015-02-06,2015,2,4,2
Kolkata,06-02-2015,417.5,404.5,67.2,0.15,89.3,104.3,235.0,High,2015-02-06,2015,2,4,2
Bangalore,06-02-2015,56.8,201.4,121.0,9.2,20.6,48.5,93.3,Low,2015-02-06,2015,2,4,0
Delhi,07-02-2015,207.1,288.6,66.6,0.73,71.2,51.0,261.6,Low,2015-02-07,2015,2,5,0
Mumbai,07-02-2015,104.9,592.0,43.0,1.28,49.4,9.3,236.4,Low,2015-02-07,2015,2,5,0
Chennai,07-02-2015,170.4,223.5,72.9,2.97,32.6,24.0,343.3,Low,2015-02-07,2015,2,5,0
Kolkata,07-02-2015,332.8,347.2,117.4,3.04,43.8,147.0,456.4,High,2015-02-07,2015,2,5,2
Bangalore,07-02-2015,375.1,280.7,115.6,2.47,4.0,71.1,173.3,Low,2015-02-07,2015,2,5,0
Delhi,08-02-2015,21.0,132.5,105.3,1.86,26.8,18.6,311.0,Moderate,2015-02-08,2015,2,6,1
Mumbai,08-02-2015,457.6,131.8,84.8,7.64,28.6,119.0,399.2,Low,2015-02-08,2015,2,6,0
Chennai,08-02-2015,280.6,536.1,12.9,6.04,72.1,172.8,312.7,High,2015-02-08,2015,2,6,2
Kolkata,08-02-2015,138.5,201.9,103.3,0.15,45.0,166.9,358.7,Low,2015-02-08,2015,2,6,0
Bangalore,08-02-2015,287.3,346.6,114.7,4.48,52.6,140.8,205.0,High,2015-02-08,2015,2,6,2
Delhi,09-02-2015,476.6,581.6,73.0,6.1,29.9,106.4,326.7,Moderate,2015-02-09,2015,2,0,1
Mumbai,09-02-2015,263.0,44.0,4.4,4.9,35.1,129.1,489.2,High,2015-02-09,2015,2,0,2
Chennai,09-02-2015,7.6,584.2,71.9,0.85,69.7,29.0,164.2,Low,2015-02-09,2015,2,0,0
Kolkata,09-02-2015,161.0,105.8,67.7,7.06,0.8,17.3,38.1,High,2015-02-09,2015,2,0,2
Bangalore,09-02-2015,270.0,331.6,4.6,9.34,63.3,174.6,64.4,High,2015-02-09,2015,2,0,2
Delhi,10-02-2015,262.9,178.7,34.7,1.08,2.5,142.6,437.3,High,2015-02-10,2015,2,1,2
Mumbai,10-02-2015,183.3,50.4,56.6,9.44,69.3,192.2,352.7,High,2015-02-10,2015,2,1,2
Chennai,10-02-2015,99.7,576.2,46.4,5.14,61.3,46.8,474.7,High,2015-02-10,2015,2,1,2
Kolkata,10-02-2015,162.9,266.0,2.2,5.95,47.6,17.5,295.8,High,2015-02-10,2015,2,1,2
Bangalore,10-02-2015,419.1,43.5,35.5,4.99,22.3,40.9,440.1,High,2015-02-10,2015,2,1,2
Delhi,11-02-2015,87.9,210.8,149.5,6.64,34.9,72.4,26.7,High,2015-02-11,2015,2,2,2
Mumbai,11-02-2015,221.3,155.1,120.6,4.03,7.0,33.9,493.6,High,2015-02-11,2015,2,2,2
Chennai,11-02-2015,79.8,225.9,138.9,4.21,2.5,151.7,496.7,High,2015-02-11,2015,2,2,2
Kolkata,11-02-2015,265.3,229.5,78.7,8.29,57.7,91.6,306.8,Low,2015-02-11,2015,2,2,0
Bangalore,11-02-2015,127.8,526.8,134.0,1.79,91.1,14.8,367.5,High,2015-02-11,2015,2,2,2
Delhi,12-02-2015,416.1,398.4,127.7,3.24,8.0,27.4,413.9,Low,2015-02-12,2015,2,3,0
Mumbai,12-02-2015,212.7,132.7,47.0,5.09,29.7,30.9,300.9,High,2015-02-12,2015,2,3,2
Chennai,12-02-2015,414.9,99.5,111.2,3.25,69.7,164.7,209.8,Low,2015-02-12,2015,2,3,0
Kolkata,12-02-2015,458.1,277.6,62.8,6.46,79.6,55.0,453.4,Moderate,2015-02-12,2015,2,3,1
Bangalore,12-02-2015,318.1,363.3,121.0,7.97,66.8,172.9,355.9,High,2015-02-12,2015,2,3,2
Delhi,13-02-2015,64.2,531.8,50.7,1.17,7.3,122.4,205.5,High,2015-02-13,2015,2,4,2
Mumbai,13-02-2015,9.8,449.1,84.1,5.65,76.3,134.8,44.8,Low,2015-02-13,2015,2,4,0
Chennai,13-02-2015,262.6,479.1,63.7,8.74,47.1,105.0,426.9,Low,2015-02-13,2015,2,4,0
Kolkata,13-02-2015,142.6,47.3,24.0,4.38,61.5,189.9,486.9,Moderate,2015-02-13,2015,2,4,1
Bangalore,13-02-2015,98.7,170.3,102.2,1.24,98.6,72.7,330.6,Moderate,2015-02-13,2015,2,4,1
Delhi,14-02-2015,381.0,226.1,137.1,8.28,88.5,134.2,493.5,High,2015-02-14,2015,2,5,2
Mumbai,14-02-2015,160.2,138.2,54.7,3.87,37.0,34.6,299.8,High,2015-02-14,2015,2,5,2
Chennai,14-02-2015,366.0,213.6,54.6,0.62,7.2,109.7,142.1,Moderate,2015-02-14,2015,2,5,1
Kolkata,14-02-2015,90.9,239.9,69.9,4.36,3.8,57.3,14.4,High,2015-02-14,2015,2,5,2
Bangalore,14-02-2015,308.9,324.1,77.5,5.28,91.4,124.7,75.0,High,2015-02-14,2015,2,5,2
Delhi,15-02-2015,389.3,412.5,85.3,9.15,60.6,41.6,9.8,High,2015-02-15,2015,2,6,2
Mumbai,15-02-2015,237.0,430.7,124.9,6.29,9.2,9.7,295.7,High,2015-02-15,2015,2,6,2
Chennai,15-02-2015,232.9,298.4,131.6,7.89,11.5,29.0,79.6,Low,2015-02-15,2015,2,6,0
Kolkata,15-02-2015,430.0,584.0,5.4,1.74,49.1,98.0,85.7,High,2015-02-15,2015,2,6,2
Bangalore,15-02-2015,148.2,233.0,70.1,2.2,77.6,46.2,52.2,High,2015-02-15,2015,2,6,2
Delhi,16-02-2015,65.4,70.3,43.2,4.59,30.2,31.9,118.1,High,2015-02-16,2015,2,0,2
Mumbai,16-02-2015,164.8,289.7,136.1,6.53,89.7,84.1,334.3,Moderate,2015-02-16,2015,2,0,1
Chennai,16-02-2015,482.4,466.1,69.7,0.16,32.4,19.9,182.1,High,2015-02-16,2015,2,0,2
